distancia_km,tiempo_min,velocidad_kmh,carga_kg,peso_vehiculo_kg,capacidad_kg,cilindraje_l,rendimiento_km_l,factor_trafico,factor_clima,hora_sin,hora_cos,tipo_via_codigo,detenciones_estimadas,pendiente_pct,consumo_base_l,consumo_real_l,fuente
1.45206,3.48287,25.01484,1049.59,6500.0,2500.0,2.201,9.5077,1.1223,1.0124,0.70711,-0.70711,0,1,3.4737,0.152725,0.230278,SIMULADO_CONTROLADO
0.98294,4.09106,14.41592,2175.893,9000.0,7000.0,4.212,6.5463,1.3545,0.9871,0.5,-0.86603,3,3,4.4619,0.150152,0.244482,SIMULADO_CONTROLADO
0.86841,1.1341,45.94345,609.537,6500.0,1200.0,1.814,9.1149,1.0878,1.1034,-0.86603,0.5,2,0,2.7241,0.095274,0.127884,SIMULADO_CONTROLADO
0.6848,1.15722,35.50576,3869.186,4200.0,7000.0,1.498,10.8028,1.191,0.9965,-0.96593,-0.25882,1,1,0.611,0.063391,0.092489,SIMULADO_CONTROLADO
3.35684,4.65943,43.2264,826.992,9000.0,1800.0,3.786,7.089,1.0,0.9847,-0.86603,-0.5,1,4,4.9372,0.473525,0.553163,SIMULADO_CONTROLADO
2.03918,7.86899,15.5485,1806.572,9000.0,4000.0,5.465,4.3871,1.1759,1.0359,0.86603,-0.5,3,6,4.7472,0.464811,0.770679,SIMULADO_CONTROLADO
2.57709,4.81961,32.08247,442.29,2800.0,500.0,4.016,13.0833,1.033,1.0017,-0.86603,-0.5,0,4,2.8896,0.196974,0.255603,SIMULADO_CONTROLADO
0.48754,0.56558,51.72106,110.908,900.0,800.0,2.756,13.6046,1.1302,1.0823,-0.96593,0.25882,2,0,3.6675,0.035836,0.048751,SIMULADO_CONTROLADO
2.04593,3.62125,33.89876,209.389,4200.0,7000.0,1.289,11.5794,1.0,1.0231,-0.70711,0.70711,0,1,3.552,0.176687,0.19891,SIMULADO_CONTROLADO
0.15713,0.36694,25.69376,5089.6,2800.0,7000.0,6.185,12.5642,1.2248,1.0881,-0.70711,-0.70711,0,0,1.5164,0.012507,0.02097,SIMULADO_CONTROLADO
4.46699,4.6573,57.54833,1520.074,2200.0,1800.0,2.323,14.3417,1.0,1.0552,-0.86603,0.5,2,10,1.9538,0.31147,0.434638,SIMULADO_CONTROLADO
